ResetUnsuccessfulInfoDescription	Something went wrong, please try again later	问题出现，请稍后再重试	問題出現，請稍後再重試					
ResetUnsuccessfulInfoButtonContent	OK	好	好					
ResetLoginInvalidInfoTitle	Log in invalid	登入无效	登入無效					
ResetLoginInvalidInfoDescription	Invalid password or mobile number	密码或手机号码无效	密碼或手機號碼無效					
ResetLoginInvalidInfoButtonContent	OK	好	好					
ResetLogoutInfoTitle	Are you sure you wish to log out?	您确定要登出吗？	您確定要登出嗎？					
ResetLogoutInfoYesButton	Yes	是	是					
ResetLogoutInfoCancelButton	Cancel	否	否					
								
SuccessSignUpOrChangePasswordPageTitle	You are now logged in	您现在已登入	您現在已登入					
SuccessSignUpOrChangePasswordPageDescription	Welcome and happy browsing	欢迎，祝您浏览愉快！	歡迎，祝您瀏覽愉快！					
SuccessSignUpOrChangePasswordPageButtonDescription	Go	前进	前進					
								
ConsultationPageTitle	Consultation	咨询	咨詢					
ConsultationPageBannerButton	Learn more	了解更多	瞭解更多					
ConsultationPageFeatureService	Feature Service	主打服务	主打服務					
ConsultationPageGlobalFeatured	Global Featured	全球精选	全球精選					
ConsultationPageDiscovery	Discovery	新发现	新發現					
ConsultationPageDiscoveryWidgetButton	Read more	阅读更多	閲讀更多					
ConsultationPageUpcomingEvents	Upcoming Events	来日活动	來日活動					
ConsultationPageUpcomingEventsWidgetButton	Register for FREE now	先科免费报名	先科免費報名					
ConsultationPageConsultationIcon	Consultation	咨询	咨詢					
ConsultationCategoryPageListingAll	All	全部	全部					
ConsultationCategoryPageListingRecommendation	Recommendation of the Week	每周推荐	每周推薦					
								
MasterProfilePageTitle	{name}	我	我					
MasterProfilePageHighlights	Highlights	精华	精華					
MasterProfilePageBookaService	Book a Service	预订服务	預訂服務					
MasterProfilePageMasterBio	Read Master's Bio	阅读大师档案	閲讀大師檔案					
MasterProfilePageMyEvents	My Events	我关注的活动	我關注的活動					
MasterProfilePageEnded	Ended	结束	結束					
MasterProfilePageDonate	Donate	布施	佈施					
MasterProfilePagePopularServices	Popular Services	热门服务	熱門服務					
MasterProfilePageFOC	Free	免费	免費					
MasterProfilePageAllService	See all	阅读全部	閲讀全部					
MasterProfilePageRatingnReviews	Rating n Reviews	评分和评语	評分和評語					
MasterProfilePageAllRatingnReviews	See all	阅读全部	閲讀全部					
								
RitualnEventsPageMyLive	My Live	我关注的直播	我關注的直播					
RitualnEventsPagePastEvents	Past Events	过往活动	過往活動					
RitualnEventsPageGotoMarketPlace	Go to MarketPlace	进入购物商城	進入購物商城					
RitualnEventsPageBestSelling	Best Selling	热卖商品	熱賣商品					
RitualnEventsPageFreeShipping	Free Shipping Worldwide	全球免船运费	全球免船運費					
RitualnEventsPageJust_in	Just_in	上架新品	上架新品					
RitualnEventsPageCategory	Category	品项分类	品項分類					
